swell_info,time,wind_direction,wind_speed,wind_state
"[{""period"":9,""angle"":313.0,""letters"":""SE"",""height"":2.3},{""period"":10,""angle"":234.0,""letters"":""NE"",""height"":1.4},null,null]",Thursday 27 8PM,N,5.0,glass
"[{""period"":10,""angle"":315.0,""letters"":""SE"",""height"":2.3},{""period"":10,""angle"":235.0,""letters"":""NE"",""height"":1.2},null,null]",Thursday 27 11PM,NW,10.0,cross-off
"[{""period"":10,""angle"":313.0,""letters"":""SE"",""height"":2.2},{""period"":10,""angle"":232.0,""letters"":""NE"",""height"":1.1},{""period"":21,""angle"":-0.0,""letters"":""S"",""height"":0.1},null]",Friday 28 2AM,NW,15.0,cross-off
"[{""period"":10,""angle"":313.0,""letters"":""SE"",""height"":2.1},{""period"":10,""angle"":232.0,""letters"":""NE"",""height"":1.1},{""period"":20,""angle"":-0.0,""letters"":""S"",""height"":0.1},null]",Friday 28 5AM,NNW,15.0,cross-off
"[{""period"":10,""angle"":313.0,""letters"":""SE"",""height"":2.1},{""period"":10,""angle"":232.0,""letters"":""NE"",""height"":1.1},{""period"":20,""angle"":-0.0,""letters"":""S"",""height"":0.1},null]",Friday 28 8AM,NNW,15.0,cross-off
"[{""period"":10,""angle"":313.0,""letters"":""SE"",""height"":1.9},{""period"":10,""angle"":236.0,""letters"":""NE"",""height"":1.1},{""period"":4,""angle"":162.0,""letters"":""NNW"",""height"":-0.3},null]",Friday 28 11AM,NNW,20.0,cross-off
"[{""period"":10,""angle"":313.0,""letters"":""SE"",""height"":1.8},{""period"":10,""angle"":236.0,""letters"":""NE"",""height"":1.1},{""period"":7,""angle"":180.0,""letters"":""N"",""height"":0.3},{""period"":5,""angle"":180.0,""letters"":""N"",""height"":0.4}]",Friday 28 2PM,NNW,15.0,cross-off
"[{""period"":10,""angle"":315.0,""letters"":""SE"",""height"":1.6},{""period"":9,""angle"":238.0,""letters"":""ENE"",""height"":0.9},{""period"":8,""angle"":180.0,""letters"":""N"",""height"":0.4},{""period"":4,""angle"":143.0,""letters"":""NW"",""height"":-0.5}]",Friday 28 5PM,NW,15.0,cross-off
"[{""period"":9,""angle"":318.0,""letters"":""SE"",""height"":1.5},{""period"":9,""angle"":234.0,""letters"":""NE"",""height"":0.9},{""period"":5,""angle"":164.0,""letters"":""NNW"",""height"":-0.7},{""period"":6,""angle"":160.0,""letters"":""NNW"",""height"":-1.2}]",Friday 28 8PM,NW,10.0,cross-off
"[{""period"":9,""angle"":318.0,""letters"":""SE"",""height"":1.3},{""period"":9,""angle"":236.0,""letters"":""NE"",""height"":0.7},{""period"":6,""angle"":171.0,""letters"":""N"",""height"":0.6},null]",Friday 28 11PM,NW,10.0,cross-off
"[{""period"":9,""angle"":308.0,""letters"":""SE"",""height"":1.1},{""period"":9,""angle"":236.0,""letters"":""NE"",""height"":0.7},{""period"":7,""angle"":-0.0,""letters"":""S"",""height"":0.6},{""period"":2,""angle"":90.0,""letters"":""W"",""height"":-0.3}]",Saturday 29 2AM,WNW,10.0,cross-off
"[{""period"":9,""angle"":307.0,""letters"":""SE"",""height"":1.0},{""period"":9,""angle"":239.0,""letters"":""ENE"",""height"":0.6},{""period"":8,""angle"":-0.0,""letters"":""S"",""height"":0.6},null]",Saturday 29 5AM,W,5.0,off
